Datum:09.05.2019
Uhrzeit:16:01:54
Wavelength	Sample	Monitor	Ibias
350.0000000000	0.0174000000	0.0150340000	0.0965001699
400.0000000000	0.0650100000	0.0551400000	0.0963102876
450.0000000000	0.0167050000	0.0130620000	0.0963002938
500.0000000000	0.0269850000	0.0182000000	0.0964102257
550.0000000000	0.0454100000	0.0236700000	0.0964402071
600.0000000000	0.0619600000	0.0302350000	0.0964601947
650.0000000000	0.0700100000	0.0529300000	0.0964402071
700.0000000000	0.0855400000	0.0837600000	0.0964302133
750.0000000000	0.0731100000	0.1113600000	0.0964402071
800.0000000000	0.0745600000	0.1284400000	0.0964402071
850.0000000000	0.0731300000	0.1474600000	0.0964102257
900.0000000000	0.0920600000	0.1959000000	0.0964102257
950.0000000000	0.1046200000	0.2477000000	0.0963802442
1000.0000000000	0.1037400000	0.2886500000	0.0963802442
1050.0000000000	0.0808200000	0.3105000000	0.0963602566
1100.0000000000	0.0411200000	0.3189500000	0.0963502628
