Datum:09.05.2019
Uhrzeit:15:22:33
Wavelength	Sample	Monitor	Ibias
350.0000000000	0.0223500000	0.0172850000	0.0769522896
400.0000000000	0.0820400000	0.0646100000	0.0768723391
450.0000000000	0.0173100000	0.0130900000	0.0768723391
500.0000000000	0.0277800000	0.0181650000	0.0768823330
550.0000000000	0.0466800000	0.0235800000	0.0768723391
600.0000000000	0.0637300000	0.0301600000	0.0768823330
650.0000000000	0.0719900000	0.0530900000	0.0768823330
700.0000000000	0.0880700000	0.0839900000	0.0768723391
750.0000000000	0.0754500000	0.1116400000	0.0768723391
800.0000000000	0.0769800000	0.1285200000	0.0768623453
850.0000000000	0.0757300000	0.1478200000	0.0768623453
900.0000000000	0.0963800000	0.1970500000	0.0769023206
950.0000000000	0.1116600000	0.2491500000	0.0768723391
1000.0000000000	0.1179200000	0.2900000000	0.0768623453
1050.0000000000	0.1052000000	0.3118000000	0.0768623453
1100.0000000000	0.0683400000	0.3202500000	0.0768723391
