Datum:08.05.2019
Uhrzeit:10:52:50
Wavelength	Sample	Monitor	Ibias
350.0000000000	0.0411950000	0.0216950000	0.0424137035
400.0000000000	0.1183200000	0.0774800000	0.0424236973
450.0000000000	0.0177260000	0.0126180000	0.0424137035
500.0000000000	0.0277250000	0.0173660000	0.0424137035
550.0000000000	0.0463500000	0.0225100000	0.0424137035
600.0000000000	0.0630300000	0.0291150000	0.0424137035
650.0000000000	0.0708800000	0.0525900000	0.0424037097
700.0000000000	0.0876300000	0.0837900000	0.0424037097
750.0000000000	0.0751000000	0.1115400000	0.0423937159
800.0000000000	0.0766600000	0.1280600000	0.0423937159
850.0000000000	0.0761800000	0.1480400000	0.0423737283
900.0000000000	0.0968200000	0.1990500000	0.0423737283
950.0000000000	0.1106800000	0.2519000000	0.0423737283
1000.0000000000	0.1071800000	0.2928500000	0.0423737283
1050.0000000000	0.0788200000	0.3148500000	0.0423737283
1100.0000000000	0.0378300000	0.3231000000	0.0423737283
