Datum:09.05.2019
Uhrzeit:11:26:10
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0037610000	0.0034370000	0.0410545462
310.0000000000	0.0066650000	0.0052340000	0.0410445524
320.0000000000	0.0105280000	0.0075790000	0.0410445524
330.0000000000	0.0151040000	0.0104540000	0.0410445524
340.0000000000	0.0188800000	0.0139660000	0.0410445524
350.0000000000	0.0235000000	0.0182700000	0.0410445524
360.0000000000	0.0337500000	0.0244700000	0.0410445524
370.0000000000	0.0460500000	0.0330550000	0.0410545462
380.0000000000	0.0575900000	0.0428250000	0.0410545462
390.0000000000	0.0731000000	0.0548700000	0.0410545462
400.0000000000	0.0914400000	0.0694400000	0.0410545462
410.0000000000	0.1096800000	0.0840400000	0.0410445524
420.0000000000	0.1217000000	0.0977800000	0.0410545462
430.0000000000	0.0102060000	0.0088740000	0.0410345586
440.0000000000	0.0132980000	0.0107860000	0.0410345586
450.0000000000	0.0170960000	0.0128980000	0.0410345586
460.0000000000	0.0167600000	0.0124020000	0.0410345586
470.0000000000	0.0194400000	0.0140200000	0.0410445524
480.0000000000	0.0218000000	0.0154200000	0.0410345586
490.0000000000	0.0244000000	0.0167140000	0.0410345586
500.0000000000	0.0272950000	0.0178020000	0.0410245648
510.0000000000	0.0328350000	0.0191400000	0.0410345586
520.0000000000	0.0377800000	0.0203750000	0.0410345586
530.0000000000	0.0400450000	0.0212350000	0.0410245648
540.0000000000	0.0426250000	0.0220900000	0.0410245648
550.0000000000	0.0459000000	0.0231050000	0.0410245648
560.0000000000	0.0493500000	0.0241700000	0.0410245648
570.0000000000	0.0528400000	0.0251950000	0.0410245648
580.0000000000	0.0561900000	0.0261750000	0.0410245648
590.0000000000	0.0594100000	0.0275350000	0.0410245648
600.0000000000	0.0624000000	0.0297250000	0.0410145710
610.0000000000	0.0653400000	0.0331100000	0.0410045772
620.0000000000	0.0679700000	0.0373300000	0.0409745958
630.0000000000	0.0703900000	0.0421950000	0.0410045772
640.0000000000	0.0723200000	0.0475300000	0.0410045772
650.0000000000	0.0700200000	0.0529200000	0.0409446143
660.0000000000	0.0698400000	0.0585600000	0.0409745958
670.0000000000	0.0771800000	0.0649700000	0.0410045772
680.0000000000	0.0817100000	0.0713000000	0.0410145710
690.0000000000	0.0842200000	0.0775600000	0.0410145710
700.0000000000	0.0857300000	0.0840200000	0.0410145710
710.0000000000	0.0869700000	0.0906400000	0.0410145710
720.0000000000	0.0879800000	0.0975400000	0.0410145710
730.0000000000	0.0844200000	0.1034200000	0.0410245648
740.0000000000	0.0767000000	0.1076200000	0.0410145710
750.0000000000	0.0731300000	0.1118000000	0.0410045772
760.0000000000	0.0744300000	0.1160600000	0.0410145710
770.0000000000	0.0760100000	0.1200000000	0.0410145710
780.0000000000	0.0762700000	0.1233200000	0.0410245648
790.0000000000	0.0754900000	0.1260800000	0.0410045772
800.0000000000	0.0741900000	0.1285000000	0.0410045772
810.0000000000	0.0727600000	0.1309200000	0.0409446143
820.0000000000	0.0717000000	0.1336600000	0.0409945834
830.0000000000	0.0712100000	0.1372400000	0.0410045772
840.0000000000	0.0716100000	0.1419800000	0.0409945834
850.0000000000	0.0729900000	0.1482400000	0.0410045772
860.0000000000	0.0753000000	0.1560400000	0.0410145710
870.0000000000	0.0785400000	0.1653000000	0.0410045772
880.0000000000	0.0823900000	0.1757000000	0.0410045772
890.0000000000	0.0864500000	0.1867000000	0.0410045772
900.0000000000	0.0928800000	0.1984000000	0.0410145710
910.0000000000	0.1030800000	0.2116500000	0.0410145710
920.0000000000	0.1055800000	0.2231000000	0.0410145710
930.0000000000	0.1045000000	0.2330000000	0.0410145710
940.0000000000	0.1043600000	0.2417500000	0.0410145710
950.0000000000	0.1049800000	0.2508000000	0.0410145710
960.0000000000	0.1061000000	0.2609000000	0.0410145710
970.0000000000	0.1066400000	0.2701500000	0.0410145710
980.0000000000	0.1063400000	0.2782000000	0.0410145710
990.0000000000	0.1053200000	0.2854000000	0.0410045772
1000.0000000000	0.1035800000	0.2916500000	0.0409945834
1010.0000000000	0.1010600000	0.2973500000	0.0409845896
1020.0000000000	0.0976400000	0.3024500000	0.0410045772
1030.0000000000	0.0931200000	0.3068000000	0.0409346205
1040.0000000000	0.0873200000	0.3104000000	0.0409945834
1050.0000000000	0.0802000000	0.3135500000	0.0410045772
1060.0000000000	0.0716600000	0.3173500000	0.0410145710
1070.0000000000	0.0627800000	0.3190000000	0.0410145710
1080.0000000000	0.0548700000	0.3208000000	0.0410145710
1090.0000000000	0.0475300000	0.3215000000	0.0410045772
1100.0000000000	0.0403000000	0.3219500000	0.0410045772
1110.0000000000	0.0334600000	0.3217000000	0.0410045772
1120.0000000000	0.0270700000	0.3204000000	0.0410045772
1130.0000000000	0.0211850000	0.3192000000	0.0410045772
1140.0000000000	0.0159800000	0.3194000000	0.0410045772
1150.0000000000	0.0115460000	0.3194000000	0.0410045772
1160.0000000000	0.0076580000	0.3193000000	0.0409945834
1170.0000000000	0.0046200000	0.3187000000	0.0409945834
1180.0000000000	0.0021790000	0.3169000000	0.0409945834
1190.0000000000	0.0009002000	0.3150000000	0.0409945834
1200.0000000000	0.0004328000	0.3116000000	0.0409945834
