[General]		
Serial number:	063-2010	
ISFH identifier:	RD002	
Date of calibration:	29.11.2011	
		
[Currents]		
Current at STC:	141.93	[mA]
UCurrent at STC:	0.78	[mA]
		
[Conditions]		
srel data bias current:	42.54	[mA]
srel data sensor temperature:	25	[°C]
fsrrel2abs:	0.15311	
		
[Measurement]		
Label 1:	Wavelength	[nm]
Label 2:	srel	[mA W^-1 m²]
Label 3:	U	[mAW^-1m²]
		
**Data**		
280	0.2122	0.0026
285	0.2398	0.0025
290	0.2736	0.0027
295	0.3111	0.0027
300	0.3463	0.0029
305	0.3759	0.0028
310	0.4034	0.0032
315	0.4288	0.0029
320	0.4511	0.0031
325	0.4701	0.0027
330	0.4875	0.0029
335	0.5037	0.0028
340	0.5179	0.0033
345	0.5261	0.0029
350	0.5326	0.0026
355	0.5367	0.0026
360	0.5408	0.003
365	0.5473	0.003
370	0.5617	0.0036
375	0.5794	0.0037
380	0.5971	0.004
385	0.6151	0.0037
390	0.6316	0.004
395	0.6483	0.0042
400	0.6628	0.0029
405	0.6749	0.0035
410	0.6864	0.0038
415	0.6994	0.0036
420	0.7125	0.0037
425	0.7243	0.003
430	0.7358	0.0032
435	0.7485	0.0031
440	0.7614	0.0031
445	0.7733	0.003
450	0.785	0.0049
455	0.797	0.0042
460	0.8088	0.006
465	0.8213	0.0062
470	0.8332	0.003
475	0.8448	0.0031
480	0.8561	0.0054
485	0.8672	0.0031
490	0.8787	0.0046
495	0.8891	0.0033
500	0.9	0.0034
505	0.9119	0.0033
510	0.923	0.0035
515	0.9342	0.0034
520	0.9451	0.0035
525	0.9559	0.0035
530	0.9672	0.0036
535	0.9772	0.0035
540	0.9877	0.0035
545	0.9981	0.0028
550	1.0087	0.0033
555	1.0186	0.0035
560	1.0284	0.0038
565	1.0381	0.0038
570	1.0475	0.0039
575	1.0581	0.0039
580	1.0682	0.0039
585	1.0778	0.0039
590	1.0878	0.004
595	1.0971	0.004
600	1.1074	0.0042
605	1.1168	0.0042
610	1.1265	0.0044
615	1.1367	0.0044
620	1.1473	0.0045
625	1.1574	0.0043
630	1.1668	0.0045
635	1.1765	0.0043
640	1.186	0.0045
645	1.1961	0.0048
650	1.2058	0.0046
655	1.2155	0.0046
660	1.226	0.0047
665	1.2365	0.0048
670	1.246	0.0048
675	1.2556	0.0047
680	1.2655	0.0055
685	1.2756	0.0051
690	1.2862	0.005
695	1.2952	0.0047
700	1.3047	0.005
705	1.3144	0.0051
710	1.3241	0.0088
715	1.3339	0.0087
720	1.3439	0.0089
725	1.353	0.0087
730	1.3617	0.0089
735	1.3703	0.0089
740	1.3791	0.0089
745	1.3889	0.009
750	1.4003	0.009
755	1.4109	0.009
760	1.4205	0.0091
765	1.4296	0.0092
770	1.4389	0.0091
775	1.448	0.0093
780	1.4571	0.0094
785	1.4659	0.0094
790	1.4743	0.0095
795	1.4829	0.0093
800	1.4924	0.0095
805	1.5011	0.0094
810	1.5103	0.0095
815	1.5194	0.0095
820	1.5282	0.0094
825	1.5376	0.0096
830	1.5465	0.0098
835	1.5547	0.0098
840	1.563	0.01
845	1.571	0.01
850	1.579	0.01
855	1.586	0.01
860	1.593	0.01
865	1.5997	0.0099
870	1.606	0.01
875	1.611	0.01
880	1.616	0.01
885	1.6214	0.0098
890	1.625	0.01
895	1.625	0.0099
900	1.619	0.0098
905	1.6105	0.0099
910	1.6122	0.0098
915	1.6263	0.0097
920	1.6404	0.0098
925	1.6482	0.0098
930	1.6523	0.0099
935	1.652	0.01
940	1.651	0.01
945	1.6477	0.0098
950	1.6437	0.0098
955	1.639	0.0097
960	1.6326	0.0095
965	1.6243	0.0093
970	1.6145	0.009
975	1.6028	0.0088
980	1.5884	0.0089
985	1.5715	0.0089
990	1.5518	0.009
995	1.5294	0.0089
1000	1.5051	0.0086
1005	1.478	0.0082
1010	1.4476	0.008
1015	1.4142	0.0088
1020	1.3793	0.0096
1025	1.341	0.012
1030	1.301	0.012
1035	1.256	0.011
1040	1.205	0.011
1045	1.148	0.011
1050	1.089	0.011
1055	1.025	0.01
1060	0.9546	0.0097
1065	0.8884	0.0088
1070	0.8352	0.0081
1075	0.7866	0.0076
1080	0.7371	0.0071
1085	0.6866	0.0067
1090	0.6359	0.0062
1095	0.587	0.0058
1100	0.5423	0.0055
1105	0.5001	0.0052
1110	0.4572	0.0055
1115	0.413	0.005
1120	0.3697	0.0045
1125	0.3294	0.0039
1130	0.2908	0.0034
1135	0.2524	0.003
1140	0.2146	0.0027
1145	0.1784	0.0024
1150	0.1455	0.0021
1155	0.1172	0.0018
1160	0.0927	0.0016
1165	0.0706	0.0014
1170	0.0496	0.0012
1175	0.02975	0.00099
1180	0.01498	0.00069
1185	0.00818	0.00033
1190	0.00616	0.00018
1195	0.00524	0.00013
1200	0.00443	0.00011
