Datum:09.05.2019
Uhrzeit:13:03:39
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0038930000	0.0033860000	0.0434830405
310.0000000000	0.0071000000	0.0051010000	0.0434630529
320.0000000000	0.0086640000	0.0062390000	0.0434630529
330.0000000000	0.0132320000	0.0088040000	0.0434730467
340.0000000000	0.0172040000	0.0119260000	0.0434730467
350.0000000000	0.0201550000	0.0154140000	0.0434730467
360.0000000000	0.0316500000	0.0217500000	0.0434730467
370.0000000000	0.0450400000	0.0303750000	0.0434730467
380.0000000000	0.0566000000	0.0396650000	0.0434730467
390.0000000000	0.0723900000	0.0523400000	0.0434730467
400.0000000000	0.0958400000	0.0713500000	0.0434730467
410.0000000000	0.1247000000	0.0926800000	0.0434830405
420.0000000000	0.1373400000	0.1087800000	0.0434830405
430.0000000000	0.0101400000	0.0089260000	0.0434730467
440.0000000000	0.0132560000	0.0108780000	0.0434730467
450.0000000000	0.0170860000	0.0130100000	0.0434530591
460.0000000000	0.0167840000	0.0125480000	0.0434630529
470.0000000000	0.0195350000	0.0142060000	0.0434530591
480.0000000000	0.0219350000	0.0156720000	0.0434630529
490.0000000000	0.0245600000	0.0169940000	0.0434630529
500.0000000000	0.0275150000	0.0181400000	0.0434630529
510.0000000000	0.0327900000	0.0194450000	0.0434530591
520.0000000000	0.0380750000	0.0207950000	0.0434530591
530.0000000000	0.0404900000	0.0217100000	0.0434730467
540.0000000000	0.0430650000	0.0225700000	0.0434330715
550.0000000000	0.0464100000	0.0235950000	0.0434530591
560.0000000000	0.0499000000	0.0246850000	0.0434530591
570.0000000000	0.0534300000	0.0257500000	0.0434830405
580.0000000000	0.0568900000	0.0267500000	0.0434930343
590.0000000000	0.0603000000	0.0280500000	0.0434930343
600.0000000000	0.0634800000	0.0301250000	0.0434930343
610.0000000000	0.0664700000	0.0333650000	0.0434930343
620.0000000000	0.0692700000	0.0374700000	0.0434930343
630.0000000000	0.0718300000	0.0422700000	0.0434930343
640.0000000000	0.0739500000	0.0475400000	0.0434930343
650.0000000000	0.0719400000	0.0528700000	0.0435230157
660.0000000000	0.0711400000	0.0584200000	0.0435230157
670.0000000000	0.0784700000	0.0646900000	0.0435230157
680.0000000000	0.0835400000	0.0710600000	0.0435030281
690.0000000000	0.0862700000	0.0771700000	0.0434930343
700.0000000000	0.0879200000	0.0837000000	0.0434930343
710.0000000000	0.0892500000	0.0902000000	0.0434930343
720.0000000000	0.0904600000	0.0971200000	0.0434930343
730.0000000000	0.0873800000	0.1030800000	0.0434930343
740.0000000000	0.0794800000	0.1073800000	0.0435030281
750.0000000000	0.0753800000	0.1115000000	0.0434930343
760.0000000000	0.0767200000	0.1158600000	0.0434930343
770.0000000000	0.0785200000	0.1197600000	0.0434830405
780.0000000000	0.0790000000	0.1232400000	0.0434830405
790.0000000000	0.0784200000	0.1260600000	0.0434830405
800.0000000000	0.0771400000	0.1286000000	0.0434730467
810.0000000000	0.0757800000	0.1310000000	0.0434730467
820.0000000000	0.0746400000	0.1337600000	0.0434430653
830.0000000000	0.0741600000	0.1372600000	0.0434530591
840.0000000000	0.0744400000	0.1417800000	0.0434730467
850.0000000000	0.0756400000	0.1475800000	0.0434730467
860.0000000000	0.0779400000	0.1550600000	0.0434630529
870.0000000000	0.0811200000	0.1639400000	0.0435130219
880.0000000000	0.0850800000	0.1740800000	0.0435430033
890.0000000000	0.0892000000	0.1847000000	0.0435430033
900.0000000000	0.0956800000	0.1961000000	0.0435529971
910.0000000000	0.1063000000	0.2089500000	0.0435529971
920.0000000000	0.1097600000	0.2205000000	0.0435529971
930.0000000000	0.1091000000	0.2302500000	0.0435529971
940.0000000000	0.1094000000	0.2389500000	0.0435430033
950.0000000000	0.1107200000	0.2477500000	0.0435430033
960.0000000000	0.1129400000	0.2578500000	0.0435330095
970.0000000000	0.1148400000	0.2672500000	0.0435030281
980.0000000000	0.1161200000	0.2754000000	0.0435030281
990.0000000000	0.1168000000	0.2825500000	0.0434930343
1000.0000000000	0.1169000000	0.2889000000	0.0434830405
1010.0000000000	0.1163200000	0.2945000000	0.0434830405
1020.0000000000	0.1149800000	0.2995500000	0.0434530591
1030.0000000000	0.1127200000	0.3039500000	0.0434630529
1040.0000000000	0.1091800000	0.3074000000	0.0434530591
1050.0000000000	0.1043600000	0.3106000000	0.0434830405
1060.0000000000	0.0981200000	0.3145500000	0.0434630529
1070.0000000000	0.0905600000	0.3161500000	0.0434530591
1080.0000000000	0.0835400000	0.3181000000	0.0434630529
1090.0000000000	0.0759800000	0.3189500000	0.0434630529
1100.0000000000	0.0680000000	0.3192500000	0.0434530591
1110.0000000000	0.0595400000	0.3193000000	0.0434630529
1120.0000000000	0.0507600000	0.3178500000	0.0434730467
1130.0000000000	0.0418300000	0.3167000000	0.0434430653
1140.0000000000	0.0332500000	0.3166500000	0.0434730467
1150.0000000000	0.0249300000	0.3167500000	0.0434630529
1160.0000000000	0.0173500000	0.3164500000	0.0434630529
1170.0000000000	0.0107060000	0.3159000000	0.0434630529
1180.0000000000	0.0051360000	0.3146000000	0.0434530591
1190.0000000000	0.0020235000	0.3128500000	0.0434630529
1200.0000000000	0.0010598000	0.3095500000	0.0434530591
