Datum:08.05.2019
Uhrzeit:10:52:50
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0054810000	0.0041210000	0.0424137035
310.0000000000	0.0108380000	0.0063220000	0.0424137035
320.0000000000	0.0184720000	0.0091520000	0.0424137035
330.0000000000	0.0254850000	0.0119440000	0.0424137035
340.0000000000	0.0314200000	0.0156700000	0.0424137035
350.0000000000	0.0411950000	0.0216950000	0.0424137035
360.0000000000	0.0550100000	0.0280150000	0.0424137035
370.0000000000	0.0684600000	0.0366500000	0.0424137035
380.0000000000	0.0808500000	0.0468100000	0.0424137035
390.0000000000	0.0954400000	0.0590400000	0.0424236973
400.0000000000	0.1183200000	0.0774800000	0.0424236973
410.0000000000	0.1326400000	0.0934600000	0.0424236973
420.0000000000	0.1416600000	0.1095400000	0.0424236973
430.0000000000	0.0107820000	0.0087120000	0.0424137035
440.0000000000	0.0138680000	0.0105560000	0.0424137035
450.0000000000	0.0177260000	0.0126180000	0.0424137035
460.0000000000	0.0172060000	0.0121060000	0.0424137035
470.0000000000	0.0198650000	0.0136800000	0.0424137035
480.0000000000	0.0221900000	0.0150560000	0.0424137035
490.0000000000	0.0248250000	0.0163060000	0.0424137035
500.0000000000	0.0277250000	0.0173660000	0.0424137035
510.0000000000	0.0332700000	0.0186600000	0.0424137035
520.0000000000	0.0382450000	0.0198600000	0.0424137035
530.0000000000	0.0404300000	0.0206950000	0.0424137035
540.0000000000	0.0430100000	0.0215150000	0.0424037097
550.0000000000	0.0463500000	0.0225100000	0.0424137035
560.0000000000	0.0497200000	0.0235350000	0.0424137035
570.0000000000	0.0533000000	0.0245350000	0.0424137035
580.0000000000	0.0565700000	0.0254950000	0.0424137035
590.0000000000	0.0599500000	0.0268700000	0.0424137035
600.0000000000	0.0630300000	0.0291150000	0.0424137035
610.0000000000	0.0660500000	0.0326300000	0.0424137035
620.0000000000	0.0687600000	0.0368400000	0.0424137035
630.0000000000	0.0713000000	0.0418000000	0.0424037097
640.0000000000	0.0732900000	0.0470900000	0.0424037097
650.0000000000	0.0708800000	0.0525900000	0.0424037097
660.0000000000	0.0710700000	0.0581700000	0.0424037097
670.0000000000	0.0786600000	0.0646700000	0.0424037097
680.0000000000	0.0833100000	0.0709800000	0.0424037097
690.0000000000	0.0859900000	0.0773500000	0.0424037097
700.0000000000	0.0876300000	0.0837900000	0.0424037097
710.0000000000	0.0890600000	0.0904800000	0.0424037097
720.0000000000	0.0901800000	0.0973200000	0.0424037097
730.0000000000	0.0863800000	0.1032000000	0.0424037097
740.0000000000	0.0785000000	0.1073400000	0.0424037097
750.0000000000	0.0751000000	0.1115400000	0.0423937159
760.0000000000	0.0767200000	0.1158000000	0.0423937159
770.0000000000	0.0784200000	0.1196600000	0.0423937159
780.0000000000	0.0787600000	0.1229800000	0.0423937159
790.0000000000	0.0779800000	0.1256600000	0.0423937159
800.0000000000	0.0766600000	0.1280600000	0.0423937159
810.0000000000	0.0753200000	0.1304600000	0.0423837221
820.0000000000	0.0743400000	0.1331800000	0.0423837221
830.0000000000	0.0740200000	0.1367600000	0.0423737283
840.0000000000	0.0745800000	0.1415800000	0.0423737283
850.0000000000	0.0761800000	0.1480400000	0.0423737283
860.0000000000	0.0787600000	0.1560000000	0.0423737283
870.0000000000	0.0823400000	0.1654400000	0.0423737283
880.0000000000	0.0863400000	0.1758600000	0.0423737283
890.0000000000	0.0906800000	0.1872000000	0.0423937159
900.0000000000	0.0968200000	0.1990500000	0.0423737283
910.0000000000	0.1065600000	0.2123500000	0.0423737283
920.0000000000	0.1101400000	0.2238500000	0.0423737283
930.0000000000	0.1100400000	0.2339500000	0.0423737283
940.0000000000	0.1101400000	0.2428500000	0.0423737283
950.0000000000	0.1106800000	0.2519000000	0.0423737283
960.0000000000	0.1117800000	0.2620500000	0.0423737283
970.0000000000	0.1121600000	0.2713500000	0.0423737283
980.0000000000	0.1115400000	0.2795500000	0.0423737283
990.0000000000	0.1098000000	0.2867000000	0.0423737283
1000.0000000000	0.1071800000	0.2928500000	0.0423737283
1010.0000000000	0.1034000000	0.2985000000	0.0423737283
1020.0000000000	0.0985400000	0.3036000000	0.0423737283
1030.0000000000	0.0932000000	0.3081000000	0.0423837221
1040.0000000000	0.0867200000	0.3116000000	0.0423737283
1050.0000000000	0.0788200000	0.3148500000	0.0423737283
1060.0000000000	0.0694800000	0.3187000000	0.0423737283
1070.0000000000	0.0601500000	0.3202000000	0.0423637345
1080.0000000000	0.0522000000	0.3219500000	0.0423737283
1090.0000000000	0.0447800000	0.3227000000	0.0423737283
1100.0000000000	0.0378300000	0.3231000000	0.0423737283
1110.0000000000	0.0316700000	0.3228500000	0.0423737283
1120.0000000000	0.0254850000	0.3219000000	0.0423637345
1130.0000000000	0.0200450000	0.3209500000	0.0423637345
1140.0000000000	0.0149980000	0.3210000000	0.0423637345
1150.0000000000	0.0105380000	0.3209000000	0.0423637345
1160.0000000000	0.0069520000	0.3205000000	0.0423637345
1170.0000000000	0.0041940000	0.3198000000	0.0423737283
1180.0000000000	0.0018640000	0.3181000000	0.0423637345
1190.0000000000	0.0007172000	0.3160000000	0.0423637345
1200.0000000000	0.0004356000	0.3125500000	0.0423637345
