Datum:08.05.2019
Uhrzeit:13:39:38
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0032470000	0.0030720000	0.0424736663
400.0000000000	0.0953600000	0.0670900000	0.0425036477
500.0000000000	0.0269550000	0.0181650000	0.0425036477
600.0000000000	0.0620900000	0.0301450000	0.0425336291
700.0000000000	0.0864400000	0.0836000000	0.0425636106
800.0000000000	0.0764300000	0.1285400000	0.0425736044
900.0000000000	0.0937400000	0.1959500000	0.0425736044
1000.0000000000	0.1043600000	0.2888500000	0.0425736044
1100.0000000000	0.0374000000	0.3194000000	0.0425736044
1200.0000000000	0.0004823000	0.3097500000	0.0425636106
