Datum:08.05.2019
Uhrzeit:12:15:45
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0028490000	0.0029480000	0.0413143851
400.0000000000	0.0548300000	0.0450200000	0.0413143851
500.0000000000	0.0269250000	0.0180550000	0.0413143851
600.0000000000	0.0618300000	0.0299850000	0.0413143851
700.0000000000	0.0853100000	0.0837700000	0.0413243789
800.0000000000	0.0743600000	0.1285400000	0.0413243789
900.0000000000	0.0918400000	0.1966500000	0.0413243789
1000.0000000000	0.1030600000	0.2895500000	0.0413243789
1100.0000000000	0.0405100000	0.3201500000	0.0413143851
1200.0000000000	0.0005094000	0.3103500000	0.0413143851
