Datum:08.05.2019
Uhrzeit:11:38:52
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0019645000	0.0046200000	0.0284723471
310.0000000000	0.0036110000	0.0072740000	0.0284623533
320.0000000000	0.0057910000	0.0107580000	0.0284723471
330.0000000000	0.0091520000	0.0155100000	0.0284723471
340.0000000000	0.0116340000	0.0208250000	0.0284723471
350.0000000000	0.0156540000	0.0289600000	0.0284723471
360.0000000000	0.0223050000	0.0390450000	0.0284723471
370.0000000000	0.0325100000	0.0536000000	0.0284723471
380.0000000000	0.0408050000	0.0702300000	0.0284823409
390.0000000000	0.0535500000	0.0926000000	0.0284823409
400.0000000000	0.0718400000	0.1210600000	0.0284823409
410.0000000000	0.0875200000	0.1494400000	0.0284823409
420.0000000000	0.0912600000	0.1663800000	0.0284823409
430.0000000000	0.0089480000	0.0089320000	0.0284723471
440.0000000000	0.0116400000	0.0108580000	0.0284723471
450.0000000000	0.0149400000	0.0129740000	0.0284723471
460.0000000000	0.0146760000	0.0125240000	0.0284723471
470.0000000000	0.0170300000	0.0141520000	0.0284723471
480.0000000000	0.0191200000	0.0155580000	0.0284723471
490.0000000000	0.0214100000	0.0168840000	0.0284823409
500.0000000000	0.0239050000	0.0179700000	0.0284823409
510.0000000000	0.0287250000	0.0193100000	0.0284723471
520.0000000000	0.0331300000	0.0205850000	0.0284823409
530.0000000000	0.0351150000	0.0214800000	0.0284823409
540.0000000000	0.0373800000	0.0223250000	0.0284823409
550.0000000000	0.0402150000	0.0233450000	0.0284823409
560.0000000000	0.0431550000	0.0244000000	0.0284823409
570.0000000000	0.0461300000	0.0254550000	0.0284823409
580.0000000000	0.0489900000	0.0264550000	0.0284823409
590.0000000000	0.0518400000	0.0277750000	0.0284823409
600.0000000000	0.0544100000	0.0299350000	0.0284823409
610.0000000000	0.0569600000	0.0332850000	0.0284823409
620.0000000000	0.0592900000	0.0374000000	0.0284823409
630.0000000000	0.0613200000	0.0423000000	0.0284823409
640.0000000000	0.0629800000	0.0475600000	0.0284823409
650.0000000000	0.0610500000	0.0529900000	0.0284823409
660.0000000000	0.0607200000	0.0585800000	0.0284823409
670.0000000000	0.0668700000	0.0649400000	0.0284823409
680.0000000000	0.0707700000	0.0712700000	0.0284823409
690.0000000000	0.0730500000	0.0775400000	0.0284823409
700.0000000000	0.0743000000	0.0839600000	0.0284823409
710.0000000000	0.0753400000	0.0905600000	0.0284823409
720.0000000000	0.0764400000	0.0974400000	0.0284823409
730.0000000000	0.0737600000	0.1033400000	0.0284823409
740.0000000000	0.0668400000	0.1075600000	0.0284823409
750.0000000000	0.0631300000	0.1117000000	0.0284823409
760.0000000000	0.0640400000	0.1159800000	0.0284823409
770.0000000000	0.0653700000	0.1199600000	0.0284823409
780.0000000000	0.0655700000	0.1233600000	0.0284823409
790.0000000000	0.0649300000	0.1261200000	0.0284823409
800.0000000000	0.0637900000	0.1286000000	0.0284823409
810.0000000000	0.0626200000	0.1310000000	0.0284823409
820.0000000000	0.0617000000	0.1337600000	0.0284823409
830.0000000000	0.0612200000	0.1373200000	0.0284723471
840.0000000000	0.0614900000	0.1419600000	0.0284723471
850.0000000000	0.0625700000	0.1480200000	0.0284723471
860.0000000000	0.0645700000	0.1557600000	0.0284723471
870.0000000000	0.0672100000	0.1648200000	0.0284723471
880.0000000000	0.0704400000	0.1751200000	0.0284823409
890.0000000000	0.0738600000	0.1858000000	0.0284723471
900.0000000000	0.0792500000	0.1974500000	0.0284723471
910.0000000000	0.0881500000	0.2105000000	0.0284723471
920.0000000000	0.0907200000	0.2220000000	0.0284823409
930.0000000000	0.0900200000	0.2318500000	0.0284723471
940.0000000000	0.0900800000	0.2407500000	0.0284723471
950.0000000000	0.0905800000	0.2496000000	0.0284823409
960.0000000000	0.0916000000	0.2597500000	0.0284723471
970.0000000000	0.0920200000	0.2690500000	0.0284723471
980.0000000000	0.0919000000	0.2771000000	0.0284823409
990.0000000000	0.0910200000	0.2842500000	0.0284823409
1000.0000000000	0.0896000000	0.2906000000	0.0284723471
1010.0000000000	0.0874000000	0.2962000000	0.0284723471
1020.0000000000	0.0844400000	0.3013500000	0.0284823409
1030.0000000000	0.0806600000	0.3057000000	0.0284723471
1040.0000000000	0.0756800000	0.3093000000	0.0284723471
1050.0000000000	0.0695000000	0.3123500000	0.0284723471
1060.0000000000	0.0620600000	0.3163500000	0.0284723471
1070.0000000000	0.0543400000	0.3178000000	0.0284723471
1080.0000000000	0.0475500000	0.3198000000	0.0284723471
1090.0000000000	0.0410700000	0.3205500000	0.0284723471
1100.0000000000	0.0349100000	0.3208500000	0.0284723471
1110.0000000000	0.0290050000	0.3208500000	0.0284723471
1120.0000000000	0.0234500000	0.3196000000	0.0284723471
1130.0000000000	0.0183550000	0.3187500000	0.0284723471
1140.0000000000	0.0139380000	0.3187000000	0.0284723471
1150.0000000000	0.0099840000	0.3186500000	0.0284723471
1160.0000000000	0.0066700000	0.3183500000	0.0284723471
1170.0000000000	0.0040020000	0.3176500000	0.0284723471
1180.0000000000	0.0018975000	0.3161000000	0.0284723471
1190.0000000000	0.0008356000	0.3143000000	0.0284723471
1200.0000000000	0.0004594000	0.3108500000	0.0284723471
