Datum:08.05.2019
Uhrzeit:11:07:48
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0046450000	0.0039460000	0.0342387720
310.0000000000	0.0085790000	0.0061060000	0.0342387720
320.0000000000	0.0141880000	0.0090580000	0.0342387720
330.0000000000	0.0197350000	0.0117860000	0.0342387720
340.0000000000	0.0247750000	0.0157360000	0.0342287782
350.0000000000	0.0328000000	0.0217150000	0.0342387720
360.0000000000	0.0479300000	0.0292200000	0.0342387720
370.0000000000	0.0586400000	0.0359850000	0.0342387720
380.0000000000	0.0750800000	0.0483100000	0.0342287782
390.0000000000	0.0876400000	0.0582000000	0.0342587596
400.0000000000	0.1192200000	0.0805300000	0.0342487658
410.0000000000	0.1374400000	0.0962400000	0.0342587596
420.0000000000	0.1397800000	0.1065800000	0.0342587596
430.0000000000	0.0099560000	0.0088400000	0.0342487658
440.0000000000	0.0130260000	0.0107380000	0.0342387720
450.0000000000	0.0168160000	0.0128520000	0.0342387720
460.0000000000	0.0163700000	0.0123400000	0.0342487658
470.0000000000	0.0190250000	0.0139400000	0.0342587596
480.0000000000	0.0213550000	0.0153480000	0.0342587596
490.0000000000	0.0239300000	0.0166140000	0.0342587596
500.0000000000	0.0267700000	0.0177120000	0.0342587596
510.0000000000	0.0321000000	0.0190300000	0.0342587596
520.0000000000	0.0369550000	0.0202900000	0.0342587596
530.0000000000	0.0391600000	0.0211350000	0.0342587596
540.0000000000	0.0416950000	0.0219800000	0.0342587596
550.0000000000	0.0449000000	0.0229950000	0.0342587596
560.0000000000	0.0482600000	0.0240400000	0.0342587596
570.0000000000	0.0516600000	0.0250900000	0.0342587596
580.0000000000	0.0548900000	0.0260450000	0.0342587596
590.0000000000	0.0581100000	0.0273950000	0.0342587596
600.0000000000	0.0610300000	0.0295950000	0.0342587596
610.0000000000	0.0639400000	0.0330200000	0.0342587596
620.0000000000	0.0664800000	0.0372250000	0.0342587596
630.0000000000	0.0688800000	0.0421600000	0.0342587596
640.0000000000	0.0707100000	0.0474500000	0.0342587596
650.0000000000	0.0684000000	0.0528900000	0.0342587596
660.0000000000	0.0683600000	0.0584900000	0.0342587596
670.0000000000	0.0755600000	0.0649200000	0.0342587596
680.0000000000	0.0799900000	0.0712400000	0.0342587596
690.0000000000	0.0824600000	0.0775300000	0.0342587596
700.0000000000	0.0838900000	0.0840000000	0.0342587596
710.0000000000	0.0851700000	0.0906600000	0.0342587596
720.0000000000	0.0860400000	0.0974800000	0.0342587596
730.0000000000	0.0823900000	0.1033600000	0.0342587596
740.0000000000	0.0748300000	0.1075800000	0.0342587596
750.0000000000	0.0715800000	0.1117600000	0.0342587596
760.0000000000	0.0730000000	0.1160200000	0.0342587596
770.0000000000	0.0745100000	0.1199800000	0.0342487658
780.0000000000	0.0746600000	0.1232400000	0.0342487658
790.0000000000	0.0738600000	0.1260000000	0.0342587596
800.0000000000	0.0726300000	0.1284600000	0.0342487658
810.0000000000	0.0712500000	0.1308400000	0.0342487658
820.0000000000	0.0702200000	0.1336600000	0.0342587596
830.0000000000	0.0697000000	0.1372200000	0.0342487658
840.0000000000	0.0701400000	0.1420400000	0.0342387720
850.0000000000	0.0714800000	0.1482800000	0.0342387720
860.0000000000	0.0738100000	0.1559800000	0.0342387720
870.0000000000	0.0770100000	0.1653400000	0.0342387720
880.0000000000	0.0807600000	0.1757800000	0.0342387720
890.0000000000	0.0848100000	0.1867500000	0.0342487658
900.0000000000	0.0911400000	0.1985000000	0.0342487658
910.0000000000	0.1010600000	0.2117000000	0.0342487658
920.0000000000	0.1034600000	0.2231500000	0.0342387720
930.0000000000	0.1024200000	0.2330000000	0.0342487658
940.0000000000	0.1024200000	0.2418000000	0.0342387720
950.0000000000	0.1030200000	0.2508500000	0.0342487658
960.0000000000	0.1041000000	0.2608500000	0.0342487658
970.0000000000	0.1046600000	0.2702000000	0.0342487658
980.0000000000	0.1044600000	0.2783000000	0.0342487658
990.0000000000	0.1034200000	0.2855000000	0.0342587596
1000.0000000000	0.1016800000	0.2918000000	0.0342587596
1010.0000000000	0.0992000000	0.2974000000	0.0342587596
1020.0000000000	0.0959200000	0.3024500000	0.0342587596
1030.0000000000	0.0915600000	0.3068500000	0.0342587596
1040.0000000000	0.0859000000	0.3104000000	0.0342487658
1050.0000000000	0.0789200000	0.3136500000	0.0342487658
1060.0000000000	0.0705000000	0.3174000000	0.0342487658
1070.0000000000	0.0617800000	0.3190000000	0.0342387720
1080.0000000000	0.0541400000	0.3207500000	0.0342487658
1090.0000000000	0.0468500000	0.3216000000	0.0342587596
1100.0000000000	0.0397100000	0.3219000000	0.0342587596
1110.0000000000	0.0330700000	0.3218000000	0.0342587596
1120.0000000000	0.0267400000	0.3208500000	0.0342587596
1130.0000000000	0.0210150000	0.3198000000	0.0342587596
1140.0000000000	0.0158250000	0.3197500000	0.0342587596
1150.0000000000	0.0114080000	0.3197500000	0.0342587596
1160.0000000000	0.0075820000	0.3194000000	0.0342587596
1170.0000000000	0.0045200000	0.3187500000	0.0342587596
1180.0000000000	0.0021155000	0.3170000000	0.0342587596
1190.0000000000	0.0008740000	0.3151000000	0.0342487658
1200.0000000000	0.0005166000	0.3117500000	0.0342487658
