Datum:08.05.2019
Uhrzeit:11:17:24
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0039460000	0.0035620000	0.0409046391
310.0000000000	0.0085040000	0.0062260000	0.0409046391
320.0000000000	0.0128320000	0.0085640000	0.0409046391
330.0000000000	0.0166760000	0.0105980000	0.0409046391
340.0000000000	0.0251300000	0.0166480000	0.0409146329
350.0000000000	0.0256450000	0.0180700000	0.0409146329
360.0000000000	0.0363500000	0.0237700000	0.0409146329
370.0000000000	0.0395800000	0.0291700000	0.0409146329
380.0000000000	0.0568300000	0.0389950000	0.0409146329
390.0000000000	0.0877800000	0.0593200000	0.0409146329
400.0000000000	0.1203800000	0.0817900000	0.0409246267
410.0000000000	0.1767000000	0.1217800000	0.0409246267
420.0000000000	0.1690600000	0.1233800000	0.0409246267
430.0000000000	0.0101720000	0.0089120000	0.0409146329
440.0000000000	0.0132620000	0.0108260000	0.0409146329
450.0000000000	0.0171160000	0.0129580000	0.0409146329
460.0000000000	0.0167580000	0.0124640000	0.0409146329
470.0000000000	0.0194400000	0.0140580000	0.0409146329
480.0000000000	0.0217850000	0.0154940000	0.0409146329
490.0000000000	0.0244300000	0.0167920000	0.0409146329
500.0000000000	0.0273700000	0.0178840000	0.0409146329
510.0000000000	0.0328000000	0.0192200000	0.0409146329
520.0000000000	0.0378200000	0.0204800000	0.0409146329
530.0000000000	0.0400350000	0.0213350000	0.0409146329
540.0000000000	0.0426500000	0.0222000000	0.0409146329
550.0000000000	0.0458900000	0.0231900000	0.0409146329
560.0000000000	0.0493700000	0.0242850000	0.0409146329
570.0000000000	0.0527800000	0.0252900000	0.0409146329
580.0000000000	0.0561300000	0.0262850000	0.0409146329
590.0000000000	0.0594200000	0.0276300000	0.0409146329
600.0000000000	0.0625000000	0.0297950000	0.0409146329
610.0000000000	0.0654000000	0.0332100000	0.0409146329
620.0000000000	0.0680500000	0.0373950000	0.0409146329
630.0000000000	0.0704500000	0.0423000000	0.0409146329
640.0000000000	0.0723800000	0.0475700000	0.0409146329
650.0000000000	0.0700700000	0.0530100000	0.0409146329
660.0000000000	0.0698900000	0.0586100000	0.0409146329
670.0000000000	0.0772000000	0.0650200000	0.0409146329
680.0000000000	0.0818400000	0.0713500000	0.0409146329
690.0000000000	0.0843900000	0.0776700000	0.0409146329
700.0000000000	0.0858200000	0.0841100000	0.0409146329
710.0000000000	0.0871500000	0.0907000000	0.0409146329
720.0000000000	0.0880900000	0.0975800000	0.0409146329
730.0000000000	0.0844000000	0.1034600000	0.0409146329
740.0000000000	0.0767600000	0.1076600000	0.0409146329
750.0000000000	0.0732500000	0.1118400000	0.0409146329
760.0000000000	0.0747500000	0.1161800000	0.0409146329
770.0000000000	0.0763200000	0.1200600000	0.0409146329
780.0000000000	0.0765500000	0.1234000000	0.0409146329
790.0000000000	0.0757700000	0.1261400000	0.0409046391
800.0000000000	0.0744200000	0.1286000000	0.0409046391
810.0000000000	0.0731000000	0.1310000000	0.0409046391
820.0000000000	0.0719500000	0.1337400000	0.0409046391
830.0000000000	0.0715300000	0.1373000000	0.0409046391
840.0000000000	0.0718800000	0.1421400000	0.0409046391
850.0000000000	0.0732100000	0.1482400000	0.0409046391
860.0000000000	0.0756000000	0.1560600000	0.0409046391
870.0000000000	0.0788200000	0.1652000000	0.0409046391
880.0000000000	0.0827000000	0.1756800000	0.0409046391
890.0000000000	0.0868100000	0.1867000000	0.0409046391
900.0000000000	0.0932200000	0.1983500000	0.0409146329
910.0000000000	0.1034600000	0.2115000000	0.0409146329
920.0000000000	0.1060000000	0.2229500000	0.0409146329
930.0000000000	0.1050600000	0.2329000000	0.0409146329
940.0000000000	0.1049600000	0.2418000000	0.0409146329
950.0000000000	0.1056200000	0.2508000000	0.0409046391
960.0000000000	0.1066800000	0.2607000000	0.0409046391
970.0000000000	0.1073000000	0.2701000000	0.0409046391
980.0000000000	0.1070800000	0.2782000000	0.0408946453
990.0000000000	0.1060400000	0.2852500000	0.0408746577
1000.0000000000	0.1043200000	0.2916500000	0.0408846515
1010.0000000000	0.1018200000	0.2971500000	0.0408846515
1020.0000000000	0.0984800000	0.3023500000	0.0408946453
1030.0000000000	0.0940200000	0.3068000000	0.0408946453
1040.0000000000	0.0882000000	0.3102500000	0.0409046391
1050.0000000000	0.0810800000	0.3135000000	0.0409046391
1060.0000000000	0.0724800000	0.3174000000	0.0409046391
1070.0000000000	0.0634800000	0.3190000000	0.0408946453
1080.0000000000	0.0556400000	0.3206000000	0.0408946453
1090.0000000000	0.0481400000	0.3216000000	0.0408946453
1100.0000000000	0.0408300000	0.3219000000	0.0408946453
1110.0000000000	0.0340500000	0.3218000000	0.0408946453
1120.0000000000	0.0275550000	0.3207000000	0.0408946453
1130.0000000000	0.0215850000	0.3196500000	0.0408846515
1140.0000000000	0.0163100000	0.3197000000	0.0408846515
1150.0000000000	0.0117520000	0.3197000000	0.0408846515
1160.0000000000	0.0078220000	0.3193500000	0.0408746577
1170.0000000000	0.0047020000	0.3185000000	0.0408846515
1180.0000000000	0.0021815000	0.3169500000	0.0408846515
1190.0000000000	0.0009082000	0.3150500000	0.0408846515
1200.0000000000	0.0005078000	0.3117500000	0.0408846515
