Datum:08.05.2019
Uhrzeit:11:28:10
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0016320000	0.0033740000	0.0420639204
310.0000000000	0.0029125000	0.0050990000	0.0420639204
320.0000000000	0.0048720000	0.0075480000	0.0420639204
330.0000000000	0.0075430000	0.0107300000	0.0420639204
340.0000000000	0.0076570000	0.0124000000	0.0420639204
350.0000000000	0.0106460000	0.0167860000	0.0420739142
360.0000000000	0.0157660000	0.0224600000	0.0420739142
370.0000000000	0.0185200000	0.0254500000	0.0420739142
380.0000000000	0.0135700000	0.0264250000	0.0420639204
390.0000000000	0.0267050000	0.0422100000	0.0420739142
400.0000000000	0.0245600000	0.0419600000	0.0420739142
410.0000000000	0.0286250000	0.0528300000	0.0420739142
420.0000000000	0.0580500000	0.0989200000	0.0420739142
430.0000000000	0.0034370000	0.0089300000	0.0420639204
440.0000000000	0.0044800000	0.0108640000	0.0420639204
450.0000000000	0.0058000000	0.0129660000	0.0420639204
460.0000000000	0.0057310000	0.0124940000	0.0420639204
470.0000000000	0.0067700000	0.0141080000	0.0420639204
480.0000000000	0.0076400000	0.0155160000	0.0420639204
490.0000000000	0.0085790000	0.0168440000	0.0420639204
500.0000000000	0.0096420000	0.0179200000	0.0420739142
510.0000000000	0.0115820000	0.0192700000	0.0420639204
520.0000000000	0.0134380000	0.0205450000	0.0420639204
530.0000000000	0.0143680000	0.0214000000	0.0420639204
540.0000000000	0.0152480000	0.0222850000	0.0420739142
550.0000000000	0.0165080000	0.0232650000	0.0420739142
560.0000000000	0.0178260000	0.0243350000	0.0420639204
570.0000000000	0.0191050000	0.0253850000	0.0420639204
580.0000000000	0.0202650000	0.0264000000	0.0420639204
590.0000000000	0.0215600000	0.0277050000	0.0420639204
600.0000000000	0.0227000000	0.0298950000	0.0420639204
610.0000000000	0.0238250000	0.0332250000	0.0420639204
620.0000000000	0.0248750000	0.0374250000	0.0420639204
630.0000000000	0.0257500000	0.0423150000	0.0420639204
640.0000000000	0.0265100000	0.0475400000	0.0420539266
650.0000000000	0.0257300000	0.0529700000	0.0420539266
660.0000000000	0.0256150000	0.0585900000	0.0420439328
670.0000000000	0.0283300000	0.0649500000	0.0420639204
680.0000000000	0.0301250000	0.0712800000	0.0420639204
690.0000000000	0.0310050000	0.0775700000	0.0420639204
700.0000000000	0.0315900000	0.0840100000	0.0420639204
710.0000000000	0.0321100000	0.0906200000	0.0420639204
720.0000000000	0.0325550000	0.0974800000	0.0420639204
730.0000000000	0.0312400000	0.1033800000	0.0420639204
740.0000000000	0.0285500000	0.1076400000	0.0420639204
750.0000000000	0.0271750000	0.1117400000	0.0420639204
760.0000000000	0.0277850000	0.1161000000	0.0420639204
770.0000000000	0.0284300000	0.1199800000	0.0420639204
780.0000000000	0.0285200000	0.1233400000	0.0420539266
790.0000000000	0.0282600000	0.1261200000	0.0420539266
800.0000000000	0.0278100000	0.1285800000	0.0420539266
810.0000000000	0.0272900000	0.1310000000	0.0420539266
820.0000000000	0.0268900000	0.1337200000	0.0420539266
830.0000000000	0.0267550000	0.1372600000	0.0420539266
840.0000000000	0.0269200000	0.1419600000	0.0420639204
850.0000000000	0.0273850000	0.1480800000	0.0420539266
860.0000000000	0.0282750000	0.1558400000	0.0420639204
870.0000000000	0.0294900000	0.1649400000	0.0420539266
880.0000000000	0.0308750000	0.1753600000	0.0420539266
890.0000000000	0.0324150000	0.1861000000	0.0420539266
900.0000000000	0.0347650000	0.1978500000	0.0420539266
910.0000000000	0.0384800000	0.2109000000	0.0420139514
920.0000000000	0.0393900000	0.2223500000	0.0420539266
930.0000000000	0.0390150000	0.2322000000	0.0420539266
940.0000000000	0.0388900000	0.2410000000	0.0420539266
950.0000000000	0.0390400000	0.2499000000	0.0420539266
960.0000000000	0.0394000000	0.2599500000	0.0420539266
970.0000000000	0.0395700000	0.2693000000	0.0420539266
980.0000000000	0.0394000000	0.2774000000	0.0420539266
990.0000000000	0.0390050000	0.2845500000	0.0420539266
1000.0000000000	0.0382550000	0.2908000000	0.0420539266
1010.0000000000	0.0373450000	0.2965000000	0.0420639204
1020.0000000000	0.0361000000	0.3015500000	0.0420639204
1030.0000000000	0.0344950000	0.3060000000	0.0420639204
1040.0000000000	0.0323600000	0.3095500000	0.0420639204
1050.0000000000	0.0299350000	0.3127000000	0.0420639204
1060.0000000000	0.0268400000	0.3165500000	0.0420639204
1070.0000000000	0.0235950000	0.3182000000	0.0420639204
1080.0000000000	0.0207300000	0.3200000000	0.0420639204
1090.0000000000	0.0180450000	0.3209000000	0.0420639204
1100.0000000000	0.0154250000	0.3212000000	0.0420639204
1110.0000000000	0.0128280000	0.3211500000	0.0420639204
1120.0000000000	0.0104880000	0.3200500000	0.0420639204
1130.0000000000	0.0081960000	0.3190500000	0.0420639204
1140.0000000000	0.0062400000	0.3190500000	0.0420639204
1150.0000000000	0.0045610000	0.3189500000	0.0420639204
1160.0000000000	0.0030440000	0.3186500000	0.0420639204
1170.0000000000	0.0017930000	0.3180500000	0.0420639204
1180.0000000000	0.0008346000	0.3163000000	0.0420539266
1190.0000000000	0.0003434000	0.3145000000	0.0420539266
1200.0000000000	0.0001832500	0.3111000000	0.0420539266
